text,label
"bala-bala with coffee!  x ️ - armor kopi, tahura, bandung. - enak banget makan bala-bala terus minumnya es kopi susu!  bala-bala itu bakwan jagung  crispy2 gitu pake bumbu kacang mantep bgt!  tempatnya juga enak banget, daerah atas jd super sejuk dan cukup luas!  disini banyak menu camilan juga lohh! cocok buat nongkrong sama temen/keluarga!  follow @evelfoodstory on instagram","[{""end"": 72, ""labels"": [""Positive"", ""Food""], ""start"": 61, ""text"": ""enak banget""}, {""end"": 218, ""labels"": [""Positive"", ""Ambience""], ""start"": 192, ""text"": ""tempatnya juga enak banget""}, {""end"": 189, ""labels"": [""Positive"", ""Food""], ""start"": 166, ""text"": ""bumbu kacang mantep bgt""}, {""end"": 290, ""labels"": [""Positive"", ""Food""], ""start"": 271, ""text"": ""banyak menu camilan""}]"
pemandangannya bagus. tempatnya luas. absolutely good place to chill ! ada biaya masuk per orang 25.000 dimana tiket masuk ini bisa di jadikan alat untuk membeli makan atau minum.   sore sore ke sini anginnya adem.,"[{""end"": 20, ""labels"": [""Positive"", ""Ambience""], ""start"": 0, ""text"": ""pemandangannya bagus""}, {""end"": 36, ""labels"": [""Positive"", ""Ambience""], ""start"": 22, ""text"": ""tempatnya luas""}, {""end"": 68, ""labels"": [""Positive"", ""Ambience""], ""start"": 38, ""text"": ""absolutely good place to chill""}]"
"good outdoor ambience, but better don’t go there if it’s rain because you will never get the beautiful scenery (foggy), come again after rain or in a summer season. the place is clean, spacious, and cozy, better choose in an outdoor area. camping rent are available.","[{""end"": 21, ""labels"": [""Positive"", ""Ambience""], ""start"": 0, ""text"": ""good outdoor ambience""}, {""end"": 203, ""labels"": [""Positive"", ""Ambience""], ""start"": 165, ""text"": ""the place is clean, spacious, and cozy""}]"
"dapet info ada martabak manis terkenal di bandung, yaitu martabak nikmat andir. di-serach ternyata ada beberapa martabak menggunakan nama nikmat andir. tanya-tanya orang bandung, disaranin untuk martabak nikmat andir yang beralamat di jl.jend. sudirman no. 415.  pas dateng, rame banget yang antri mulai dari ojol sampe keluarga. yang special kata si enci sih martabak pandan dengan topping jagung. nunggu sampe 1,5 jam akhirnya tiba juga gilirannya.  setengah martabak pandan jagung keju + setengah martabak pandan keju kacang butter special idr 105.000 bahas mulai dari adonannya dulu deh. adonannya menurut saya beda sama martabak jakarta yang mengembang. kalo adonan disini tidak terlalu mengembang dan hampir mirip seperti adonan kue pukis. martabak disini tidak semanis martabak jakarta karena tidak ada taburan gula ke atas martabak saat sudah matang. warna hijau berasal air suji dan pandan. untuk topingnya cukup melimpah. jagung berasal dari jagung kalengan naraya. sedangkan untuk keju menggunakan keju cheddar prochiz.  cerita sedikit berasal dari info si enci. martabak nikmat andir di jl. jend. sudirman ada 2 yang pertama adalah sang kakak yg buka (yang saya beli saat ini) dan sang adik yang buka di seberangnya. martabak ini berasal dari bangka ya dan resep warisan turun temurun. ada lagi cicinya yang buka martabak telur di sebelah martabak nikmat andir yang saya beli. sedangkan ada lagi yang menggunakan merk martabak nikmat andir di daerah cibadak.  lokasi	             	  jl. jend. sudirman no. 415, andir, kota bandung, jawa barat  fasilitas pembayaran dapat menggunakan **pay","[{""end"": 702, ""labels"": [""Negative"", ""Food""], ""start"": 678, ""text"": ""tidak terlalu mengembang""}, {""end"": 930, ""labels"": [""Positive"", ""Food""], ""start"": 906, ""text"": ""topingnya cukup melimpah""}]"
definitely will always go to this place whenever i visit bandung. nice place if you really like nature. you can order hot drinks and eat fried banana or simply a toast. really recommended!,"[{""end"": 102, ""labels"": [""Positive"", ""Ambience""], ""start"": 66, ""text"": ""nice place if you really like nature""}, {""end"": 187, ""labels"": [""Positive"", ""Miscellaneous""], ""start"": 169, ""text"": ""really recommended""}]"
"mukbang disini, rada mahal ya abis 500 rb wkwkwkw. tempatnya jauh tp enak dan adem. banyak lalat dan lebah ti ati ya. gede sih, pelayanan juga cepet. makanannya ada cemilan ampe berat. the best nya seblak dan ayam geprek nya sih. sambel matahnya mantep gt. bakal balik lagi buat foto2!   selamat mencoba!","[{""end"": 26, ""labels"": [""Negative"", ""Price""], ""start"": 16, ""text"": ""rada mahal""}, {""end"": 82, ""labels"": [""Positive"", ""Ambience""], ""start"": 69, ""text"": ""enak dan adem""}, {""end"": 106, ""labels"": [""Negative"", ""Ambience""], ""start"": 84, ""text"": ""banyak lalat dan lebah""}, {""end"": 148, ""labels"": [""Positive"", ""Service""], ""start"": 128, ""text"": ""pelayanan juga cepet""}, {""end"": 183, ""labels"": [""Positive"", ""Food""], ""start"": 150, ""text"": ""makanannya ada cemilan ampe berat""}, {""end"": 255, ""labels"": [""Positive"", ""Food""], ""start"": 230, ""text"": ""sambel matahnya mantep gt""}, {""end"": 273, ""labels"": [""Positive"", ""Miscellaneous""], ""start"": 257, ""text"": ""bakal balik lagi""}]"
"tempat paling enak buat melamun sambil ditiupin angin sepoi sepoi. jaraknya gak terlalu jauh dari pusat kota bandung, sekitar 30 menit. hawanya enak parah  makanannya enduuuul waktu itu pesan nasi ayam matah. ayamnya banyak, sambal matahnya enak, nasinya banyak, view pas makannya juga nikmat huhu rasanya pengan balik lagi.","[{""end"": 154, ""labels"": [""Positive"", ""Ambience""], ""start"": 136, ""text"": ""hawanya enak parah""}, {""end"": 175, ""labels"": [""Positive"", ""Food""], ""start"": 156, ""text"": ""makanannya enduuuul""}, {""end"": 223, ""labels"": [""Positive"", ""Food""], ""start"": 209, ""text"": ""ayamnya banyak""}, {""end"": 245, ""labels"": [""Positive"", ""Food""], ""start"": 225, ""text"": ""sambal matahnya enak""}, {""end"": 261, ""labels"": [""Positive"", ""Food""], ""start"": 247, ""text"": ""nasinya banyak""}, {""end"": 323, ""labels"": [""Positive"", ""Miscellaneous""], ""start"": 298, ""text"": ""rasanya pengan balik lagi""}]"
"walaupun lokasi nya agak jauh ke atas, setelah sampai cafe pemandangannya bagus dan worth sih. makanan nya juga lumayan enak dan harganya masih terjangkau.","[{""end"": 93, ""labels"": [""Positive"", ""Ambience""], ""start"": 59, ""text"": ""pemandangannya bagus dan worth sih""}, {""end"": 124, ""labels"": [""Positive"", ""Food""], ""start"": 95, ""text"": ""makanan nya juga lumayan enak""}, {""end"": 154, ""labels"": [""Positive"", ""Price""], ""start"": 129, ""text"": ""harganya masih terjangkau""}]"
"ambiance nya enak, untuk yang suka alam alam gitu. cuma kalau lagi windy banget ya agak bete sih, tapi paling kalau lagi banyak angin makannya yang di dalam aja. martabak nya enak banget!!!","[{""end"": 17, ""labels"": [""Positive"", ""Ambience""], ""start"": 0, ""text"": ""ambiance nya enak""}, {""end"": 186, ""labels"": [""Positive"", ""Food""], ""start"": 162, ""text"": ""martabak nya enak banget""}]"
"tempatnya baguus, sejuk, ada kebun bunga bayar 10rb dapet bibit bunga. makanan nya enak. cuma jalan kesana nya agak sepi & jalan nya sempit.","[{""end"": 40, ""labels"": [""Positive"", ""Ambience""], ""start"": 0, ""text"": ""tempatnya baguus, sejuk, ada kebun bunga""}, {""end"": 87, ""labels"": [""Positive"", ""Food""], ""start"": 71, ""text"": ""makanan nya enak""}]"
"wonderful&very breathtaking view,delicious foods &beverages,polite&friendly staffs.  very satisfied and absolutely i will comeback again ","[{""end"": 32, ""labels"": [""Positive"", ""Ambience""], ""start"": 0, ""text"": ""wonderful&very breathtaking view""}, {""end"": 59, ""labels"": [""Positive"", ""Food""], ""start"": 33, ""text"": ""delicious foods &beverages""}, {""end"": 82, ""labels"": [""Positive"", ""Service""], ""start"": 60, ""text"": ""polite&friendly staffs""}, {""end"": 136, ""labels"": [""Positive"", ""Miscellaneous""], ""start"": 85, ""text"": ""very satisfied and absolutely i will comeback again""}]"
"puas banget sama makanan dan viewnya!! bagus banget. cuman 1 kurangnya sih, toiletnya kurang bersih. tapi kalo diajak kesini lagi sih, tetep mau banget!!","[{""end"": 24, ""labels"": [""Positive"", ""Food""], ""start"": 0, ""text"": ""puas banget sama makanan""}, {""end"": 99, ""labels"": [""Negative"", ""Service""], ""start"": 76, ""text"": ""toiletnya kurang bersih""}]"
"creative food with creative taste. cool place to hangout and nicely decorated.dory parmagiana (74.5k): ikan dori yang di baluti tepung roti kemudian di deep fry dan dikasih topping mozarella dan saus tomat homemade. ikan nya tebel dan fresh, tepung roti nya agak kurang flavourful tapi garing dan krenyes2 hehe. disajikan dengan french fries dan salad dengan semacam lemon dressing yang segar. overall rasanya biasa ajamelting mozza chicken (72.5k): fillet ayam panggang dengan topping mozarella dan irisan jamur. nah ini enak, rasa ayam panggangnya penuh rasa banget, kompleks, gurih, manis, asin. highly recommended. tempatnya cozy meskipun agak padat seatingnya. banyak tempat foto2 yang menarik. pelayan baik, cuman makanannya agak lama ya datengnya. make sure to check out their cake of the day, biasanya ada diskon 50% untuk cake of the day nya.","[{""end"": 77, ""labels"": [""Positive"", ""Ambience""], ""start"": 35, ""text"": ""cool place to hangout and nicely decorated""}, {""end"": 240, ""labels"": [""Positive"", ""Food""], ""start"": 216, ""text"": ""ikan nya tebel dan fresh""}, {""end"": 280, ""labels"": [""Negative"", ""Food""], ""start"": 242, ""text"": ""tepung roti nya agak kurang flavourful""}, {""end"": 305, ""labels"": [""Positive"", ""Food""], ""start"": 286, ""text"": ""garing dan krenyes2""}, {""end"": 526, ""labels"": [""Positive"", ""Food""], ""start"": 522, ""text"": ""enak""}, {""end"": 567, ""labels"": [""Positive"", ""Food""], ""start"": 528, ""text"": ""rasa ayam panggangnya penuh rasa banget""}, {""end"": 633, ""labels"": [""Positive"", ""Ambience""], ""start"": 619, ""text"": ""tempatnya cozy""}, {""end"": 698, ""labels"": [""Positive"", ""Ambience""], ""start"": 666, ""text"": ""banyak tempat foto2 yang menarik""}, {""end"": 712, ""labels"": [""Positive"", ""Service""], ""start"": 700, ""text"": ""pelayan baik""}, {""end"": 753, ""labels"": [""Negative"", ""Service""], ""start"": 720, ""text"": ""makanannya agak lama ya datengnya""}]"
"suka sekali disini,, makanannya enak, dr dulu suasananya enak,, homey spring roll nya enak,, cm aku gak foto,,dan aku juga ditawarin semacam bolen sekotaknya hanya 35rb, murah dan enaak  chicken wing nya juga enak kok dan mengenyangkan hehe always love here!","[{""end"": 18, ""labels"": [""Positive"", ""Miscellaneous""], ""start"": 0, ""text"": ""suka sekali disini""}, {""end"": 36, ""labels"": [""Positive"", ""Food""], ""start"": 21, ""text"": ""makanannya enak""}, {""end"": 61, ""labels"": [""Positive"", ""Ambience""], ""start"": 38, ""text"": ""dr dulu suasananya enak""}, {""end"": 257, ""labels"": [""Positive"", ""Miscellaneous""], ""start"": 241, ""text"": ""always love here""}, {""end"": 235, ""labels"": [""Positive"", ""Food""], ""start"": 187, ""text"": ""chicken wing nya juga enak kok dan mengenyangkan""}, {""end"": 175, ""labels"": [""Positive"", ""Price""], ""start"": 170, ""text"": ""murah""}]"
"whoa, pandan martabak is the best.","[{""end"": 33, ""labels"": [""Positive"", ""Food""], ""start"": 6, ""text"": ""pandan martabak is the best""}]"
"tempatnya cozy. favorite buat brunch atau santai sore, kamar mandinya juga bersih. cuma kemaren pas makan ada satu menu yang lama keluarnya yang ternyata kelupaan, but overall ok ","[{""end"": 14, ""labels"": [""Positive"", ""Ambience""], ""start"": 0, ""text"": ""tempatnya cozy""}, {""end"": 81, ""labels"": [""Positive"", ""Service""], ""start"": 55, ""text"": ""kamar mandinya juga bersih""}, {""end"": 139, ""labels"": [""Negative"", ""Service""], ""start"": 106, ""text"": ""ada satu menu yang lama keluarnya""}]"
suasananya cozy & tenang. porsi makanannya pas (gak terlalu banyak gak terlalu sedikit). kopi nya juga enakk,"[{""end"": 24, ""labels"": [""Positive"", ""Ambience""], ""start"": 0, ""text"": ""suasananya cozy & tenang""}, {""end"": 46, ""labels"": [""Positive"", ""Food""], ""start"": 26, ""text"": ""porsi makanannya pas""}, {""end"": 108, ""labels"": [""Positive"", ""Food""], ""start"": 89, ""text"": ""kopi nya juga enakk""}]"
"akhirnya nyobain makan disini..tempatnya memang agak panas ya..tapi terbayar dengan makanannya yang menurut ak porsinya besar , pesen sphageti ( porsi besar dan rasanya enak) ..mushroom soup nya jg yummy, fish and chip agak kebanyakan tepung yaa .. pelayanannya top mba mas nya cepet sigap ..buat yg lg dibandung boleh nyobain ..harga nya mnrt aku msh ok yaaa untuk porsi yg lumayan besar","[{""end"": 61, ""labels"": [""Negative"", ""Ambience""], ""start"": 31, ""text"": ""tempatnya memang agak panas ya""}, {""end"": 125, ""labels"": [""Positive"", ""Food""], ""start"": 111, ""text"": ""porsinya besar""}, {""end"": 173, ""labels"": [""Positive"", ""Food""], ""start"": 161, ""text"": ""rasanya enak""}, {""end"": 203, ""labels"": [""Positive"", ""Food""], ""start"": 177, ""text"": ""mushroom soup nya jg yummy""}, {""end"": 289, ""labels"": [""Positive"", ""Service""], ""start"": 249, ""text"": ""pelayanannya top mba mas nya cepet sigap""}, {""end"": 354, ""labels"": [""Positive"", ""Price""], ""start"": 329, ""text"": ""harga nya mnrt aku msh ok""}]"
"datang di hari jumat jam makan siang, cukup ramai. outdoornya cukup sejuk karena pakaj blower. untuk rasa makanan ok, tempatnya nyaman dan pelayanan ramah. thankyou","[{""end"": 73, ""labels"": [""Positive"", ""Ambience""], ""start"": 51, ""text"": ""outdoornya cukup sejuk""}, {""end"": 116, ""labels"": [""Positive"", ""Food""], ""start"": 101, ""text"": ""rasa makanan ok""}, {""end"": 134, ""labels"": [""Positive"", ""Ambience""], ""start"": 118, ""text"": ""tempatnya nyaman""}, {""end"": 154, ""labels"": [""Positive"", ""Service""], ""start"": 139, ""text"": ""pelayanan ramah""}]"
"sebenernya enak makanannya, tp yg chicken basil rasanya sedikt tawar, gurihnya sih dapet, jd harus nambah salt sndiri. pasta enakkk, mungkin lebih enak kalau dagingnya medium jangan well done","[{""end"": 26, ""labels"": [""Positive"", ""Food""], ""start"": 11, ""text"": ""enak makanannya""}, {""end"": 68, ""labels"": [""Negative"", ""Food""], ""start"": 34, ""text"": ""chicken basil rasanya sedikt tawar""}, {""end"": 131, ""labels"": [""Positive"", ""Food""], ""start"": 119, ""text"": ""pasta enakkk""}]"
tempatnya kliatan kecil tp tempat duduknya banyak di dalem. magic : kopinya cukup enak & strong  dibanding magic2 kopi syop lainnya coco delight : lupa si namanya apa yg pasti dia pakai coconut milk + flakes kelapa di keliling gelasnya. yg ga suka kopi mungkin suka ini. kopinya light morgy sampler : buat cemilan berdua cukup banyak. onion ringnya enak.,"[{""end"": 86, ""labels"": [""Positive"", ""Food""], ""start"": 68, ""text"": ""kopinya cukup enak""}, {""end"": 353, ""labels"": [""Positive"", ""Food""], ""start"": 335, ""text"": ""onion ringnya enak""}, {""end"": 333, ""labels"": [""Positive"", ""Food""], ""start"": 301, ""text"": ""buat cemilan berdua cukup banyak""}]"
varian teh nya oke punya dan brownies nya juga enak banget. passs,"[{""end"": 24, ""labels"": [""Positive"", ""Food""], ""start"": 0, ""text"": ""varian teh nya oke punya""}, {""end"": 58, ""labels"": [""Positive"", ""Food""], ""start"": 29, ""text"": ""brownies nya juga enak banget""}]"
"sebuah hidden gem yang tenang dan homey! baru pertama kali datang kemari dan langsung jatuh hati. dulu bernama contrast, yang berganti menjadi morgy. tetap sama, hanya re-branding (kata mas dan mbaknya)  berlokasi di jalan anggrek nomor 46, tidak begitu sulit menemukan coffeeshop ini. bentuknya mungil dan memanjang ke belakang. akses masuk paling mudah diingat, dari jalan riau di samping suis butcher sebelah kanan jalan  the moment i stepped on the door, para pelayannya menyambut saya dengan hangat dan ramah. ah! ini yang paling saya suka. saya selalu bersemangat kalau dilayani dengan baik. mas dan mbaknya melayani dengan ramah dan menjelaskan semua (saat bertanya menu) dengan baik dan mendetail.   saat kemari, saya memesan mazagran; satu shot espresso yang di-shake dengan perasan lemon dan sesuatu yang saya tidak tahu apa itu. yang jelas, kopi ini menyegarkan, bikin melek, dan tidak pahit sama sekali! note: kopi ini kopi hitam, tidak ada campuran susu ataupun gula sama sekali. harga rp35.000,-  iced latte, standar iced latte pada umumnya tapi jauh less sweet dari penyajian coffeeshop pada umumnya. rasa kopi dan susunya sangat balanced dan tidak ada hint manis yang mendominasi. harga rp34.000,-  note: kalau mau ditambah condiments seperti gula cair, cinnamon, vanilla bubuk, dll. bisa diambil sendiri di meja yang sudah disediakan (seperti sistem kedai starb**ks).  overall, asyik untuk ngobrol dan bersantai membaca buku. tak jarang terlihat ramai oleh mahasiswa yang sedang mengerjakan tugas. will definitely come back later!","[{""end"": 513, ""labels"": [""Positive"", ""Service""], ""start"": 459, ""text"": ""para pelayannya menyambut saya dengan hangat dan ramah""}, {""end"": 704, ""labels"": [""Positive"", ""Service""], ""start"": 598, ""text"": ""mas dan mbaknya melayani dengan ramah dan menjelaskan semua (saat bertanya menu) dengan baik dan mendetail""}, {""end"": 1195, ""labels"": [""Positive"", ""Food""], ""start"": 1116, ""text"": ""rasa kopi dan susunya sangat balanced dan tidak ada hint manis yang mendominasi""}, {""end"": 1547, ""labels"": [""Positive"", ""Miscellaneous""], ""start"": 1515, ""text"": ""will definitely come back later!""}]"
"first timer here, dari luar keliatan kecil tapi begitu masuk ada lorong panjang dan cukup luas ada indoor dan outdoor, pilih yang indoor ada sofa dan bantalan kursi yang empuk buat santai2, interior nya ok banget pencahayaan mendukung, disediain air putih, staff nya ckup ramah menyapa, ambience juga cukup tenang","[{""end"": 212, ""labels"": [""Positive"", ""Ambience""], ""start"": 190, ""text"": ""interior nya ok banget""}, {""end"": 234, ""labels"": [""Positive"", ""Ambience""], ""start"": 213, ""text"": ""pencahayaan mendukung""}, {""end"": 285, ""labels"": [""Positive"", ""Service""], ""start"": 257, ""text"": ""staff nya ckup ramah menyapa""}, {""end"": 313, ""labels"": [""Positive"", ""Ambience""], ""start"": 287, ""text"": ""ambience juga cukup tenang""}]"
"it’s a compact cafe, kinda confused to find out this cafe at first but i really enjoy the ambience. for me personally, it’s one of the nicest place in bandung to be visited just for hanging out with friends or doing some works.","[{""end"": 98, ""labels"": [""Positive"", ""Ambience""], ""start"": 73, ""text"": ""really enjoy the ambience""}, {""end"": 147, ""labels"": [""Positive"", ""Ambience""], ""start"": 124, ""text"": ""one of the nicest place""}]"
"oke, jadi waktu trip family ke bandung, kita jajal dlu yang katanya martabak paling enak di bandung. pesen via ojol, martabak spesial pandan separo keju separo coklat kacang. tekstur martabaknya cukup kenyal, empuk, tapi masih banyak yg lebih empuk. kulitnya berlubang, agak gosong. topingnya cukup banyak, padet. untuk aromanya gk berasa sama sekali aroma butternya, pdahal pesen yg spesial. lebih wangi pandannya. di jakarta masih banyak yg lebih enak.","[{""end"": 214, ""labels"": [""Positive"", ""Food""], ""start"": 175, ""text"": ""tekstur martabaknya cukup kenyal, empuk""}, {""end"": 281, ""labels"": [""Negative"", ""Food""], ""start"": 270, ""text"": ""agak gosong""}, {""end"": 312, ""labels"": [""Positive"", ""Food""], ""start"": 283, ""text"": ""topingnya cukup banyak, padet""}]"
